name	corpus	batch_size	ratio	per_chunk_us	p50_us	p95_us	p99_us	throughput_mb_s
gzip-6	small	1	1.643	21.0	18.0	24.7	66.5	15.1
gzip-1	small	1	1.635	21.0	19.0	24.9	47.3	15.2
gn_l1	small	1	1.524	312.1	310.2	423.2	461.5	1.0
gn_fast	small	1	1.563	17.5	16.7	21.1	30.8	18.1
gn_tl	small	1	1.563	17.7	17.2	21.2	23.5	17.9
gn_parallel	small	1	1.524	320.0	316.1	438.1	468.0	1.0
napi_noop	small	1	1.000	0.3	0.0	0.1	0.1	931.3
gzip-6	small	8	1.643	17.8	132.7	173.6	394.4	17.9
gzip-1	small	8	1.635	15.8	125.0	136.8	160.2	20.1
gn_l1	small	8	1.524	329.8	2633.0	3087.3	3188.1	1.0
gn_fast	small	8	1.563	18.4	143.4	157.9	280.6	17.3
gn_tl	small	8	1.563	18.5	145.0	160.7	333.9	17.2
gn_parallel	small	8	1.524	120.6	887.1	1407.0	1721.4	2.6
napi_noop	small	8	1.000	0.1	0.1	0.1	0.2	5009.0
gzip-6	small	32	1.643	21.9	563.1	1358.0	1358.0	14.5
gzip-1	small	32	1.635	20.8	648.2	897.8	897.8	15.3
gn_l1	small	32	1.524	351.7	11018.9	13952.8	13952.8	0.9
gn_fast	small	32	1.563	18.0	574.4	621.0	621.0	17.7
gn_tl	small	32	1.563	18.1	586.0	688.9	688.9	17.6
gn_parallel	small	32	1.524	82.2	2596.6	3644.9	3644.9	3.9
napi_noop	small	32	1.000	0.0	0.1	0.2	0.2	12983.0
gzip-6	medium	1	2.301	30.9	28.7	44.8	55.4	43.3
gzip-1	medium	1	2.230	27.8	24.4	37.8	56.5	48.1
gn_l1	medium	1	2.227	1511.3	1307.9	2890.1	3629.6	0.9
gn_fast	medium	1	2.189	43.9	41.0	71.2	80.2	30.5
gn_tl	medium	1	2.189	43.9	41.4	70.2	81.2	30.5
gn_parallel	medium	1	2.227	1394.9	1247.4	2608.8	3234.7	1.0
napi_noop	medium	1	1.000	0.1	0.0	0.0	0.0	13352.6
gzip-6	medium	8	2.301	29.7	235.9	278.2	495.1	45.1
gzip-1	medium	8	2.230	25.1	199.4	228.5	284.5	53.4
gn_l1	medium	8	2.227	1424.8	11071.7	15862.6	23239.8	0.9
gn_fast	medium	8	2.189	42.7	343.7	414.2	431.8	31.4
gn_tl	medium	8	2.189	43.4	348.2	422.0	441.3	30.9
gn_parallel	medium	8	2.227	576.5	4358.5	6445.8	16110.9	2.3
napi_noop	medium	8	1.000	0.0	0.1	0.1	0.1	48918.4
gzip-6	medium	32	2.301	32.6	959.2	1428.4	1428.4	41.0
gzip-1	medium	32	2.230	25.2	800.4	906.8	906.8	53.2
gn_l1	medium	32	2.227	1366.7	43787.9	53159.0	53159.0	1.0
gn_fast	medium	32	2.189	42.6	1380.3	1503.8	1503.8	31.4
gn_tl	medium	32	2.189	41.7	1348.7	1501.1	1501.1	32.1
gn_parallel	medium	32	2.227	397.0	12215.5	18523.4	18523.4	3.4
napi_noop	medium	32	1.000	0.0	0.1	0.1	0.1	79943.1

=== LAYER ATTRIBUTION (batch_size=1) ===

small (avg 333B):
  napi boundary:        0.3µs
  gzip-6:               21.0µs
  GN thread-local:      17.7µs
  GN parallel batch32:  82.2µs
  GN core estimate:     17.4µs
  gzip ratio:           1.643x
  GN ratio:             1.563x

medium (avg 1403B):
  napi boundary:        0.1µs
  gzip-6:               30.9µs
  GN thread-local:      43.9µs
  GN parallel batch32:  397.0µs
  GN core estimate:     43.8µs
  gzip ratio:           2.301x
  GN ratio:             2.189x
